gutenberg_id,text,author
5001,ALBERT EINSTEIN REFERENCE ARCHIVE,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,RELATIVITY: THE SPECIAL AND GENERAL THEORY,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,BY ALBERT EINSTEIN,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,Written: 1916 (this revised edition: 1924),"Einstein, Albert"
5001,Source: Relativity: The Special and General Theory (1920),"Einstein, Albert"
5001,Publisher: Methuen & Co Ltd,"Einstein, Albert"
5001,"First Published: December, 1916","Einstein, Albert"
5001,Translated: Robert W. Lawson (Authorised translation),"Einstein, Albert"
5001,Transcription/Markup: Brian Basgen <brian@marxists.org>,"Einstein, Albert"
5001,Transcription to text: Gregory B. Newby <gbnewby@petascale.org>,"Einstein, Albert"
5001,Thanks to: Einstein Reference Archive (marxists.org),"Einstein, Albert"
5001,The Einstein Reference Archive is online at:,"Einstein, Albert"
5001,http://www.marxists.org/reference/archive/einstein/index.htm,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,Transcriber note: This file is a plain text rendition of HTML.,"Einstein, Albert"
5001,"Because many equations cannot be presented effectively in plain text,","Einstein, Albert"
5001,images are supplied for many equations and for all figures and tables.,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,CONTENTS,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,Preface,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,Part I: The Special Theory of Relativity,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,01. Physical Meaning of Geometrical Propositions,"Einstein, Albert"
5001,02. The System of Co-ordinates,"Einstein, Albert"
5001,03. Space and Time in Classical Mechanics,"Einstein, Albert"
5001,04. The Galileian System of Co-ordinates,"Einstein, Albert"
5001,05. The Principle of Relativity (in the Restricted Sense),"Einstein, Albert"
5001,06. The Theorem of the Addition of Velocities employed in,"Einstein, Albert"
5001,Classical Mechanics,"Einstein, Albert"
5001,07. The Apparent Incompatability of the Law of Propagation of,"Einstein, Albert"
5001,Light with the Principle of Relativity,"Einstein, Albert"
5001,08. On the Idea of Time in Physics,"Einstein, Albert"
5001,09. The Relativity of Simultaneity,"Einstein, Albert"
5001,10. On the Relativity of the Conception of Distance,"Einstein, Albert"
5001,11. The Lorentz Transformation,"Einstein, Albert"
5001,12. The Behaviour of Measuring-Rods and Clocks in Motion,"Einstein, Albert"
5001,13. Theorem of the Addition of Velocities. The Experiment of Fizeau,"Einstein, Albert"
5001,14. The Hueristic Value of the Theory of Relativity,"Einstein, Albert"
5001,15. General Results of the Theory,"Einstein, Albert"
5001,16. Expereince and the Special Theory of Relativity,"Einstein, Albert"
5001,17. Minkowski's Four-dimensial Space,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,Part II: The General Theory of Relativity,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,18. Special and General Principle of Relativity,"Einstein, Albert"
5001,19. The Gravitational Field,"Einstein, Albert"
5001,20. The Equality of Inertial and Gravitational Mass as an Argument,"Einstein, Albert"
5001,for the General Postulate of Relativity,"Einstein, Albert"
5001,21. In What Respects are the Foundations of Classical Mechanics,"Einstein, Albert"
5001,and of the Special Theory of Relativity Unsatisfactory?,"Einstein, Albert"
5001,22. A Few Inferences from the General Principle of Relativity,"Einstein, Albert"
5001,23. Behaviour of Clocks and Measuring-Rods on a Rotating Body of,"Einstein, Albert"
5001,Reference,"Einstein, Albert"
5001,24. Euclidean and non-Euclidean Continuum,"Einstein, Albert"
5001,25. Gaussian Co-ordinates,"Einstein, Albert"
5001,26. The Space-Time Continuum of the Speical Theory of Relativity,"Einstein, Albert"
5001,Considered as a Euclidean Continuum,"Einstein, Albert"
5001,27. The Space-Time Continuum of the General Theory of Relativity,"Einstein, Albert"
5001,is Not a Eculidean Continuum,"Einstein, Albert"
5001,28. Exact Formulation of the General Principle of Relativity,"Einstein, Albert"
5001,29. The Solution of the Problem of Gravitation on the Basis of the,"Einstein, Albert"
5001,General Principle of Relativity,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,Part III: Considerations on the Universe as a Whole,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,30. Cosmological Difficulties of Netwon's Theory,"Einstein, Albert"
5001,"31. The Possibility of a ""Finite"" and yet ""Unbounded"" Universe","Einstein, Albert"
5001,32. The Structure of Space According to the General Theory of,"Einstein, Albert"
5001,Relativity,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,Appendices:,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,01. Simple Derivation of the Lorentz Transformation (sup. ch. 11),"Einstein, Albert"
5001,"02. Minkowski's Four-Dimensional Space (""World"") (sup. ch 17)","Einstein, Albert"
5001,03. The Experimental Confirmation of the General Theory of Relativity,"Einstein, Albert"
5001,04. The Structure of Space According to the General Theory of,"Einstein, Albert"
5001,Relativity (sup. ch 32),"Einstein, Albert"
5001,05. Relativity and the Problem of Space,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,Note: The fifth Appendix was added by Einstein at the time of the,"Einstein, Albert"
5001,fifteenth re-printing of this book; and as a result is still under,"Einstein, Albert"
5001,copyright restrictions so cannot be added without the permission of,"Einstein, Albert"
5001,the publisher.,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,PREFACE,"Einstein, Albert"
5001,,"Einstein, Albert"
5001," (December, 1916)","Einstein, Albert"
5001,,"Einstein, Albert"
5001,"The present book is intended, as far as possible, to give an exact","Einstein, Albert"
5001,"insight into the theory of Relativity to those readers who, from a","Einstein, Albert"
5001,"general scientific and philosophical point of view, are interested in","Einstein, Albert"
5001,"the theory, but who are not conversant with the mathematical apparatus","Einstein, Albert"
5001,of theoretical physics. The work presumes a standard of education,"Einstein, Albert"
5001,"corresponding to that of a university matriculation examination, and,","Einstein, Albert"
5001,"despite the shortness of the book, a fair amount of patience and force","Einstein, Albert"
5001,of will on the part of the reader. The author has spared himself no,"Einstein, Albert"
5001,pains in his endeavour to present the main ideas in the simplest and,"Einstein, Albert"
5001,"most intelligible form, and on the whole, in the sequence and","Einstein, Albert"
5001,connection in which they actually originated. In the interest of,"Einstein, Albert"
5001,"clearness, it appeared to me inevitable that I should repeat myself","Einstein, Albert"
5001,"frequently, without paying the slightest attention to the elegance of","Einstein, Albert"
5001,the presentation. I adhered scrupulously to the precept of that,"Einstein, Albert"
5001,"brilliant theoretical physicist L. Boltzmann, according to whom","Einstein, Albert"
5001,matters of elegance ought to be left to the tailor and to the cobbler.,"Einstein, Albert"
5001,I make no pretence of having withheld from the reader difficulties,"Einstein, Albert"
5001,"which are inherent to the subject. On the other hand, I have purposely","Einstein, Albert"
5001,treated the empirical physical foundations of the theory in a,"Einstein, Albert"
5001,"""step-motherly"" fashion, so that readers unfamiliar with physics may","Einstein, Albert"
5001,not feel like the wanderer who was unable to see the forest for the,"Einstein, Albert"
5001,trees. May the book bring some one a few happy hours of suggestive,"Einstein, Albert"
5001,thought!,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,"December, 1916","Einstein, Albert"
5001,A. EINSTEIN,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,PART I,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,THE SPECIAL THEORY OF RELATIVITY,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,PHYSICAL MEANING OF GEOMETRICAL PROPOSITIONS,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,In your schooldays most of you who read this book made acquaintance,"Einstein, Albert"
5001,"with the noble building of Euclid's geometry, and you remember --","Einstein, Albert"
5001,"perhaps with more respect than love -- the magnificent structure, on","Einstein, Albert"
5001,the lofty staircase of which you were chased about for uncounted hours,"Einstein, Albert"
5001,"by conscientious teachers. By reason of our past experience, you would","Einstein, Albert"
5001,certainly regard everyone with disdain who should pronounce even the,"Einstein, Albert"
5001,most out-of-the-way proposition of this science to be untrue. But,"Einstein, Albert"
5001,perhaps this feeling of proud certainty would leave you immediately if,"Einstein, Albert"
5001,"some one were to ask you: ""What, then, do you mean by the assertion","Einstein, Albert"
5001,"that these propositions are true?"" Let us proceed to give this","Einstein, Albert"
5001,question a little consideration.,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,"Geometry sets out form certain conceptions such as ""plane,"" ""point,""","Einstein, Albert"
5001,"and ""straight line,"" with which we are able to associate more or less","Einstein, Albert"
5001,"definite ideas, and from certain simple propositions (axioms) which,","Einstein, Albert"
5001,"in virtue of these ideas, we are inclined to accept as ""true."" Then,","Einstein, Albert"
5001,"on the basis of a logical process, the justification of which we feel","Einstein, Albert"
5001,"ourselves compelled to admit, all remaining propositions are shown to","Einstein, Albert"
5001,"follow from those axioms, i.e. they are proven. A proposition is then","Einstein, Albert"
5001,"correct (""true"") when it has been derived in the recognised manner","Einstein, Albert"
5001,"from the axioms. The question of ""truth"" of the individual geometrical","Einstein, Albert"
5001,"propositions is thus reduced to one of the ""truth"" of the axioms. Now","Einstein, Albert"
5001,it has long been known that the last question is not only unanswerable,"Einstein, Albert"
5001,"by the methods of geometry, but that it is in itself entirely without","Einstein, Albert"
5001,meaning. We cannot ask whether it is true that only one straight line,"Einstein, Albert"
5001,goes through two points. We can only say that Euclidean geometry deals,"Einstein, Albert"
5001,"with things called ""straight lines,"" to each of which is ascribed the","Einstein, Albert"
5001,property of being uniquely determined by two points situated on it.,"Einstein, Albert"
5001,"The concept ""true"" does not tally with the assertions of pure","Einstein, Albert"
5001,"geometry, because by the word ""true"" we are eventually in the habit of","Einstein, Albert"
5001,"designating always the correspondence with a ""real"" object; geometry,","Einstein, Albert"
5001,"however, is not concerned with the relation of the ideas involved in","Einstein, Albert"
5001,"it to objects of experience, but only with the logical connection of","Einstein, Albert"
5001,these ideas among themselves.,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,"It is not difficult to understand why, in spite of this, we feel","Einstein, Albert"
5001,"constrained to call the propositions of geometry ""true."" Geometrical","Einstein, Albert"
5001,"ideas correspond to more or less exact objects in nature, and these","Einstein, Albert"
5001,last are undoubtedly the exclusive cause of the genesis of those,"Einstein, Albert"
5001,"ideas. Geometry ought to refrain from such a course, in order to give","Einstein, Albert"
5001,"to its structure the largest possible logical unity. The practice, for","Einstein, Albert"
5001,"example, of seeing in a ""distance"" two marked positions on a","Einstein, Albert"
5001,practically rigid body is something which is lodged deeply in our,"Einstein, Albert"
5001,habit of thought. We are accustomed further to regard three points as,"Einstein, Albert"
5001,"being situated on a straight line, if their apparent positions can be","Einstein, Albert"
5001,"made to coincide for observation with one eye, under suitable choice","Einstein, Albert"
5001,of our place of observation.,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,"If, in pursuance of our habit of thought, we now supplement the","Einstein, Albert"
5001,propositions of Euclidean geometry by the single proposition that two,"Einstein, Albert"
5001,points on a practically rigid body always correspond to the same,"Einstein, Albert"
5001,"distance (line-interval), independently of any changes in position to","Einstein, Albert"
5001,"which we may subject the body, the propositions of Euclidean geometry","Einstein, Albert"
5001,then resolve themselves into propositions on the possible relative,"Einstein, Albert"
5001,position of practically rigid bodies.* Geometry which has been,"Einstein, Albert"
5001,supplemented in this way is then to be treated as a branch of physics.,"Einstein, Albert"
5001,"We can now legitimately ask as to the ""truth"" of geometrical","Einstein, Albert"
5001,"propositions interpreted in this way, since we are justified in asking","Einstein, Albert"
5001,whether these propositions are satisfied for those real things we have,"Einstein, Albert"
5001,associated with the geometrical ideas. In less exact terms we can,"Einstein, Albert"
5001,"express this by saying that by the ""truth"" of a geometrical","Einstein, Albert"
5001,proposition in this sense we understand its validity for a,"Einstein, Albert"
5001,construction with rule and compasses.,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,"Of course the conviction of the ""truth"" of geometrical propositions in","Einstein, Albert"
5001,this sense is founded exclusively on rather incomplete experience. For,"Einstein, Albert"
5001,"the present we shall assume the ""truth"" of the geometrical","Einstein, Albert"
5001,"propositions, then at a later stage (in the general theory of","Einstein, Albert"
5001,"relativity) we shall see that this ""truth"" is limited, and we shall","Einstein, Albert"
5001,consider the extent of its limitation.,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,  Notes,"Einstein, Albert"
5001,,"Einstein, Albert"
5001,*) It follows that a natural object is associated also with a,"Einstein, Albert"
5001,"straight line. Three points A, B and C on a rigid body thus lie in a","Einstein, Albert"
5001,"straight line when the points A and C being given, B is chosen such","Einstein, Albert"
5001,that the sum of the distances AB and BC is as short as possible. This,"Einstein, Albert"
5001,incomplete suggestion will suffice for the present purpose.,"Einstein, Albert"
5001,,"Einstein, Albert"
